queueLength:vector AmusementAlt1.TicketQueue (#0 - General-0-20190508-15:29:44-6408),,queueLength:vector AmusementAlt1.SecurityQueue1 (#0 - General-0-20190508-15:29:44-6408),,queueLength:vector AmusementAlt1.SecurityQueue2 (#0 - General-0-20190508-15:29:44-6408),,lifeTime:vector AmusementAlt1.EnterPark (#0 - General-0-20190508-15:29:44-6408),
1004.890957876172,13,,,,,2421.733176636072,1022.212239766299941
1031.775863319219,14,,,,,2441.175236063519,1031.567423061999758
1032.179665882142,15,,,,,2490.740831551873,1076.084618692500039
1032.979191863308,16,,,,,2531.096340437062,1072.0099896081997
1038.440310269632,15,,,,,2608.976671403961,1112.421122977999853
1044.636759640647,16,,,,,2612.503073628234,1093.441884865399966
1051.660281428273,17,,,,,2641.869146827679,1080.217970143499766
1064.773207115546,18,,,,,2677.726998445005,1048.788412699799662
1065.312566920698,17,,,,,2717.067920134146,1067.473394176000053
1067.300979844052,18,,,,,2732.555627843392,1070.079007718799853
1117.379215505756,19,,,,,2810.22768563149,1147.363469879900089
1118.7051635354,20,,,,,2822.187130761795,1146.620360697600059
1123.593072497036,21,,,,,2906.675357661785,1223.930043280199693
1125.570326691348,20,,,,,2911.672244198792,1219.2542160854
1130.819392850152,19,,,,,2915.744687217411,1204.079157988599941
1147.17686303834,20,,,,,2998.308672305407,1284.472201106699681
1182.881569722686,19,,,,,3012.405856150315,1291.484902306699947
1188.119651094899,18,,,,,3059.792821132547,1336.933412197399771
1197.982953197514,19,,,,,3083.369111423783,1343.631933036899676
1200.809567468729,20,,,,,3120.630300974675,1372.152562312299775
1221.645180552318,21,,,,,3163.20236485156,1393.544438481500035
1246.843856754497,22,,,,,3191.677135160509,1417.017578890900038
1274.911053926294,21,,,,,3242.776158277751,1422.743922154299976
1276.234765547112,20,,,,,3289.682938200755,1454.249164886399733
1283.669506184238,21,,,,,3321.99193340406,1462.217770183000078
1318.984327632499,22,,,,,3331.027578861584,1459.371945674000013
