queueLength:vector AmusementAlt4.TicketQueue1 (#0 - General-0-20190508-14:47:15-3216),,queueLength:vector AmusementAlt4.SecurityQueue1 (#0 - General-0-20190508-14:47:15-3216),,lifeTime:vector AmusementAlt4.EnterPark (#0 - General-0-20190508-14:47:15-3216),
5384.787171181505,7,,,6500.510392172972,224.2439388190699663
5386.102796739698,6,,,6549.839085236627,184.223501335560001
5387.586900167001,5,,,6552.118915163231,177.9048872073900035
5393.962197234434,6,,,6578.55583231439,202.881553481699995
5402.716986356699,7,,,6593.841358010606,187.7495610252499877
5404.75329919624,8,,,6612.774624276022,128.1570473271499957
5407.91156473265,7,,,6622.143740312955,166.0087836768099687
5422.913147850916,6,,,6636.118959569621,149.4497974228099787
5426.1549489888,7,,,6644.191733734053,142.6598585011399786
5427.950582091104,6,,,6674.864229569092,135.141253966100009
5474.98676219978,5,,,6685.981443545553,127.4007394083500055
5477.056648540616,4,,,6697.906603462342,158.1062713956100077
5478.262418169203,3,,,6732.854405657677,148.8415014740799615
5479.88568384115,2,,,6753.402786925362,97.2092209594469803
5527.051769070007,1,,,6787.039537430984,184.2664709352299603
5548.766326658183,0,,,6855.552197642648,122.5203056074399791
5584.445538555003,1,,,6887.971116450955,102.0600318745200066
5616.342339720029,0,,,6906.751159558017,131.2006561239400067
5794.258469623359,1,,,6923.370678435365,69.7447758008279945
5826.378310380898,0,,,6971.764338315399,108.004734084839981
5989.598873741719,1,,,6978.052187664209,119.17117683088
5999.80430169689,2,,,6981.312326588606,104.3626663567299882
6019.841876556114,1,,,7031.451174301031,140.8788085071699918
6020.192205458252,2,,,7075.779251750223,132.6842468654400018
6029.584366100823,3,,,7076.027238250129,170.1203648137199585
6035.707719395088,2,,,7077.861291815641,127.6092334843000055
6048.650084725276,3,,,7089.575780663785,132.0698996083199853
6049.47097673238,2,,,7141.963049898224,129.697499148100007
6070.869920670347,1,,,7171.638966148581,203.6845002261699727
6082.993900184248,0,,,7174.005699951425,203.7740208828899987
6097.71620155534,1,,,7179.441575780243,149.02776663134
6105.460150900161,2,,,7217.267996555914,167.971362365679965
6114.167477538705,1,,,7218.31731276113,155.8112006852699658
6130.490330039174,2,,,7228.382210236789,113.4195877229599883
6130.685247827074,1,,,7235.832219760963,87.7217068337679958
