queueLength:vector AmusementAlt2.TicketQueue1 (#0 - General-0-20190508-14:44:08-6836),,queueLength:vector AmusementAlt2.SecurityQueue1 (#0 - General-0-20190508-14:44:08-6836),,queueLength:vector AmusementAlt2.TicketQueue2 (#0 - General-0-20190508-14:44:08-6836),,queueLength:vector AmusementAlt2.SecurityQueue2 (#0 - General-0-20190508-14:44:08-6836),,lifeTime:vector AmusementAlt2.EnterPark (#0 - General-0-20190508-14:44:08-6836),
647.594292445576,1,1539.304802249733,1,1585.335478556878,1,1609.799505481192,1,668.351598474172,180.0875182693199571
662.409471454517,2,1560.047295526239,0,1609.170544501157,0,1644.258358537767,0,695.834067160619,96.1929793783849898
664.382477622882,3,1589.111089265437,1,1812.254968497307,1,1737.149639954088,1,725.07009836832,118.7808057668100043
681.540390444366,4,1589.902781067002,0,1830.8123725973,0,1746.662492193455,0,728.065384901662,114.7525705125299848
689.211594726338,5,1603.507662703174,1,1834.085084212143,1,1910.514907742697,1,761.756005579144,137.7455036748700075
689.443216003284,4,1615.21531976451,0,1880.671111096067,0,1913.52003847691,0,768.378116922918,120.7838244773400045
711.228512928155,5,1668.416607109702,1,1906.857085563727,1,2030.475481744492,1,810.204206638779,147.7947351842599908
734.029826173303,4,1686.805072843789,0,1910.514907742697,0,2040.402801561964,0,811.478525616669,96.2030039171689847
759.641885275789,3,1788.519280788289,1,1915.646193373583,1,2115.131995731798,1,842.375582900924,109.4374803622399948
768.252923986947,4,1805.395720677607,0,1958.3418027536,0,2124.716088735546,0,854.24980624298,189.8673286201000102
788.579270001051,3,1859.963385160221,1,1960.829756861285,1,2134.508597666155,1,897.989895969911,216.4495055255399613
828.787717480027,2,1875.052638068638,0,1963.27482223181,2,2156.741763556749,0,901.224595268388,127.2512518312800006
833.658800248652,3,1942.242269237683,1,2020.491756031236,1,2283.315533984533,1,916.640888351674,227.4292936253399932
876.248788170013,4,1948.651318973529,0,2030.475481744492,0,2285.847957031223,0,917.73871443444,126.5975116407499851
879.530671666586,3,2015.060087262674,1,2081.08627715053,1,2363.069929639003,1,942.234660965147,146.0450583136399696
880.399154220188,2,2047.714499937414,0,2090.054714284851,0,2386.271133163606,0,958.901499289669,247.6729863615099695
899.836446842906,3,2086.544929243643,1,2144.203477446282,1,2396.451058062583,1,983.705309810366,215.452385823420001
910.864366645591,4,2098.541410550608,0,2178.695497163682,2,2421.711846106355,2,1017.089584020996,183.4307837723399637
940.589487274324,5,2156.094614080977,1,2223.413531552864,3,2425.542457573679,1,1021.687464882609,110.4355026100599838
941.568756426561,4,2181.977981001327,0,2224.715329196312,2,2464.301037747745,0,1038.231235655581,119.8007290656299797
947.673969919233,5,2319.337139710196,1,2258.277673750939,1,2468.702273484505,1,1094.63530731927,118.5875326647600041
959.974866908901,4,2338.183767108566,0,2283.315533984533,0,2493.645296650153,0,1105.962380043739,229.7135918737299663
964.755564632093,5,2408.567255653641,1,2295.59235165254,1,2511.661669374639,1,1109.227839316069,171.5498316106999815
1004.717379000992,4,2424.008158846536,0,2295.82221665671,2,2512.364034315454,0,1144.235306524292,244.398859681389978
1023.532707380935,5,2724.434895334809,1,2332.774271211654,3,2537.809221038398,1,1163.419745167612,252.5553785220199632
1056.391176882141,4,2733.442097690685,0,2343.031657620915,2,2542.927129638179,0,1163.818743743944,142.3982892355799657
1077.662923551884,3,2813.003654784762,1,2353.949314418955,3,2597.884593475589,1,1184.182448833322,135.5975909541500067
1138.439447606548,2,2814.182587637574,0,2361.128540786489,4,2601.33762173997,0,1188.59357377939,248.004086505070005
1171.908825449641,1,2886.382539718271,1,2363.069929639003,3,2636.709739493913,1,1257.955676226969,310.2817063077400225
1219.084696956061,0,2913.526341224134,0,2367.207971971066,4,2640.68742818971,0,1280.348391760549,96.4557234826380064
